run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache,use_gate,use_fixer_context
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,0,has_close_elements,1,1,0.6,0.6,0.0,3.894,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,1,separate_paren_groups,0,0,0.6,0.6,0.0,3.457,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,2,truncate_number,1,1,0.7,0.7,0.0,3.274,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,3,below_zero,1,1,0.0,0.0,0.0,1.94,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,4,mean_absolute_deviation,1,1,0.8,0.8,0.0,14.795,1,0,1,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,5,intersperse,1,1,0.6,0.6,0.0,3.356,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,6,parse_nested_parens,1,1,0.6,0.6,0.0,3.267,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,7,filter_by_substring,1,1,0.0,0.0,0.0,1.825,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,8,sum_product,1,1,0.0,0.0,0.0,2.044,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,9,rolling_max,1,1,0.0,0.0,0.0,2.05,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,10,make_palindrome,1,1,0.7,0.7,0.0,4.825,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,11,string_xor,1,1,0.0,0.0,0.0,1.946,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,12,longest,1,1,0.6,0.6,0.0,3.423,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,13,greatest_common_divisor,1,1,0.0,0.0,0.0,1.927,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,14,all_prefixes,1,1,0.6,0.6,0.0,4.7,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,15,string_sequence,1,1,0.6,0.6,0.0,3.766,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,16,count_distinct_characters,1,1,0.0,0.0,0.0,1.814,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,17,parse_music,1,1,0.6,0.6,0.0,2.954,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,18,how_many_times,1,1,0.6,0.6,0.0,2.753,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,19,sort_numbers,1,1,0.7,0.7,0.0,3.731,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,20,find_closest_elements,1,1,0.6,0.6,0.0,3.07,0,0,0,1,1,1
20260525_022958,deepseek_p9_t1_tau70,with_monitoring,0.3,0.7,21,rescale_to_unit,1,1,0.2,0.2,0.0,1.929,0,0,0,1,1,1
