run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache,use_gate,use_fixer_context
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,0,has_close_elements,1,1,,0.6,0.0,4.112,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,1,separate_paren_groups,1,1,,0.0,0.0,1.643,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,2,truncate_number,1,1,,0.6,0.0,2.387,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,3,below_zero,1,1,,0.9,0.0,1.867,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,4,mean_absolute_deviation,1,1,,0.6,0.0,2.055,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,5,intersperse,1,1,,0.6,0.0,2.172,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,6,parse_nested_parens,1,1,,0.6,0.0,2.248,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,7,filter_by_substring,1,1,,0.9,0.0,2.503,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,8,sum_product,1,1,,0.0,0.0,1.533,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,9,rolling_max,1,1,,0.9,0.0,2.211,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,10,make_palindrome,0,0,,0.7,0.0,3.198,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,11,string_xor,1,1,,0.7,0.0,3.521,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,12,longest,1,1,,0.7,0.0,2.28,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,13,greatest_common_divisor,1,1,,0.0,0.0,1.415,0,0,0,1,1,1
20260525_020140,llama31_p9_t3_tau70,baseline,0.3,0.7,14,all_prefixes,1,1,,0.9,0.0,2.913,0,0,0,1,1,1
