run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,0,has_close_elements,1,1,,0.6,0.0,4.178,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,1,separate_paren_groups,1,1,,0.6,0.0,2.196,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,2,truncate_number,1,1,,0.6,0.0,2.37,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,3,below_zero,1,1,,0.0,0.0,1.406,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,4,mean_absolute_deviation,1,1,,0.0,0.0,1.406,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,5,intersperse,1,1,,0.6,0.0,2.125,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,6,parse_nested_parens,1,1,,0.9,0.0,2.579,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,7,filter_by_substring,1,1,,0.0,0.0,1.294,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,8,sum_product,1,1,,0.0,0.0,1.522,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,9,rolling_max,1,1,,0.0,0.0,1.523,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,10,make_palindrome,0,0,,0.7,0.0,3.102,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,11,string_xor,1,1,,0.0,0.0,1.636,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,12,longest,1,1,,0.6,0.0,1.892,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,13,greatest_common_divisor,1,1,,0.0,0.0,1.404,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,14,all_prefixes,1,1,,0.6,0.0,2.791,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,15,string_sequence,1,1,,0.7,0.0,2.753,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,16,count_distinct_characters,1,1,,0.0,0.0,1.294,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,17,parse_music,1,1,,0.6,0.0,2.047,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,18,how_many_times,1,1,,0.6,0.0,1.633,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,19,sort_numbers,1,1,,0.7,0.0,2.351,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,20,find_closest_elements,1,1,,0.6,0.0,2.2,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,21,rescale_to_unit,1,1,,0.0,0.0,1.408,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,22,filter_integers,1,1,,0.0,0.0,1.294,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,23,strlen,1,1,,0.0,0.0,1.288,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,24,largest_divisor,1,1,,0.6,0.0,2.487,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,25,factorize,1,1,,0.6,0.0,2.912,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,26,remove_duplicates,0,0,,0.0,0.0,1.41,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,27,flip_case,1,1,,0.0,0.0,1.294,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,28,concatenate,1,1,,0.0,0.0,1.291,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,29,filter_by_prefix,1,1,,0.0,0.0,1.294,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,30,get_positive,1,1,,0.0,0.0,1.287,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,31,is_prime,1,1,,0.0,0.0,1.629,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,32,find_zero,0,0,,0.6,0.0,2.244,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,33,sort_third,1,1,,0.6,0.0,2.656,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,34,unique,1,1,,0.6,0.0,1.807,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,35,max_element,1,1,,0.0,0.0,1.286,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,36,fizz_buzz,1,1,,0.9,0.0,3.388,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,37,sort_even,1,1,,0.7,0.0,3.66,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,38,decode_cyclic,0,0,,0.6,0.0,2.937,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,39,prime_fib,1,1,,0.0,0.0,1.757,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,40,triples_sum_to_zero,1,1,,0.7,0.0,3.242,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,41,car_race_collision,1,1,,0.9,0.0,2.554,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,42,incr_list,1,1,,0.0,0.0,1.288,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,43,pairs_sum_to_zero,1,1,,0.0,0.0,1.402,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,44,change_base,1,1,,0.0,0.0,1.406,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,45,triangle_area,1,1,,0.0,0.0,1.29,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,46,fib4,1,1,,0.7,0.0,2.638,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,47,median,1,1,,0.7,0.0,2.936,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,48,is_palindrome,1,1,,0.2,0.0,1.294,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,49,modp,1,1,,0.6,0.0,2.853,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,50,decode_shift,0,0,,0.7,0.0,3.377,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,51,remove_vowels,1,1,,0.0,0.0,1.4,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,52,below_threshold,1,1,,0.0,0.0,1.291,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,53,add,1,1,,0.0,0.0,1.288,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,54,same_chars,1,1,,0.0,0.0,1.289,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,55,fib,1,1,,0.0,0.0,1.519,0,0,0,1
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.7,56,correct_bracketing,1,1,,0.0,0.0,1.518,0,0,0,1
